client_name,group,location,specialist,assets
 Knockburn Loch,Midland,,,
 Koodoo Limited,Midland,,,
 Lawrence Of Kemnay Limited,Midland,,,
 Level 20,Midland,,,
 Levens Heritage,Midland,,,
 Leversedge Telecom Services Limited,Midland,,,
 Levitt Bernstein Associates,Midland,,,
 Lifestyle Gates,Midland,,,
 LK Collie Joinery,Midland,,,
 Logmoor Limited,Midland,,,
 London Business Forum,Midland,,,
 Lovie Quarry & Concrete Products,Midland,,,
 Luv2Sleep Limited,Midland,,,
 Maxwell Farms Limited,Midland,,,
 McGinty's Meal an' Ale,Midland,,,
 Mcintosh Plant Hire (Aberdeen) Limited,Midland,,,
 Medlock & Medlock,Midland,,,
 MGS Logistics Limited,Midland,,,
 M & H Carriers (Aberdeen) Limited,Midland,,,
 MHD Group Ltd,Midland,,,
 M & H Logistics (Glasgow) Ltd,Midland,,,
 Michael Gall Transport,Midland,,,
 Midland Aircon,Midland,,,
 Millbrook Healthcare Ltd,Midland,,,
 Miller Plant Limited,Midland,,,
 Millington Estates Limited,Midland,,,
 Minerva (Shepherd Tucker) LLP,Midland,,,
 Mitsubishi Electric Air Conditioning Systems Europ,Midland,,,
 MN Stewart Ltd,Midland,,,
 Mobile Windscreens Limited,Midland,,,
 Monument Leisure Limited,Midland,,,
 MSL Logistics LTD,Midland,,,
 MTM Construction,Midland,,,
 MTM London Limited,Midland,,,
 Nagwa Limited,Midland,,,
 Neudrive Ltd,Midland,,,
 NEW Fuel,Midland,,,
 New Sanctuary,Midland,,,
 Nicol Aggregates,Midland,,,
 Nicol Of Skene Limited,Midland,,,
 Norwood Hall Hotel Limited,Midland,,,
 NSHI,Midland,,,
 Nuserve Ltd,Midland,,,
 Nu-Swift International Limited,Midland,,,
 Nutrivend Limited,Midland,,,
 N.V.C.S. LTD,Midland,,,
 One Stop Waste Solutions Limited,Midland,,,
 On Line Computing,Midland,,,
 Options Management,Midland,,,
 Oregon Timber Frame,Midland,,,
 Perform 365 Ltd,Midland,,,
 Pillarhouse International Ltd,Midland,,,
 Pittodrie House Hotel,Midland,,,
 Porchlight Ltd,Midland,,,
 Presly Pest Control Limited,Midland,,,
 PROMETHEAN INVESTMENTS LLP,Midland,,,
 Qualification Check Ltd,Midland,,,
 Redmac Developments Limited,Midland,,,
 R G Wilbrey (Consultants) Ltd,Midland,,,
 Richard Gordon,Midland,,,
 Ringlink,Midland,,,
 RJM Architectural Design,Midland,,,
 Rowan UK,Midland,,,
 Royce Communications,Midland,,,
 R.T. McEwan,Midland,,,
 Shipowners Claims,Midland,,,
 Sliver Ladies Caravan Park,Midland,,,
 Simon Bayliss,Midland,,,
 Simpson Property Services,Midland,,,
 Sinclair Agricultural & Recycling Services,Midland,,,
 Site Equipment,Midland,,,
 Smith and Sons,Midland,,,
 Sonnedix UK Services,Midland,,,
 Souness & Boyne,Midland,,,
 Space 2 Work,Midland,,,
 SpecialEffect,Midland,,,
 Stephen Waites,Midland,,,
 Stirling Group,Midland,,,
 Studio Egret West,Midland,,,
 Super Cups,Midland,,,
 Sutton Place,Midland,,,
 Swift Dental,Midland,,,
 Swynwood Property,Midland,,,
 TA Boxall & Co Limited,Midland,,,
 Tarite Limited,Midland,,,
 Tax Rebate Solutions,Midland,,,
 Team Educate,Midland,,,
 Technip UK,Midland,,,
 Tektum Supplies,Midland,,,
 The Archie Foundation,Midland,,,
 The Core Partnership,Midland,,,
 The Company of Leathersellers,Midland,,,
 The Mailins Group,Midland,,,
 The Company of Mercers,Midland,,,
 The Perk Company,Midland,,,
 The Spa at Leamington,Midland,,,
 The Untitled Studio,Midland,,,
 The Workshop UK,Midland,,,
 The Worshipful Company of Grocers,Midland,,,
 Thistle Windows,Midland,,,
 Thomson of Sauchen,Midland,,,
 Total Recycling Services,Midland,,,
 Town and County,Midland,,,
 Training,Midland,,,
 Treetop Forestry Limited,Midland,,,
 Turriff Agri-Parts Limited,Midland,,,
 Turriff District Agricultural Association (Turriff show),Midland,,,
 Turriff Plant Limited,Midland,,,
 Tyldesley Distribution Services,Midland,,,
 UK & Ireland Insurance Services Limited,Midland,,,
 Unison Heart of England,Midland,,,
 Unison Heart of England,Midland,,,
 UNISON South Tyneside L.G. Branch,Midland,,,
 Upton Group Limited,Midland,,,
 Vending Solutions Limited,Midland,,,
 Vendman Systems Limited - Managed Services,Midland,,,
 Wakefield City Academy,Midland,,,
 Waverley Cutting Tools Limited,Midland,,,
 West Atlantic UK,Midland,,,
 Wigan And Leigh Hospice Ltd,Midland,,,
 W J & J Green Limited,Midland,,,
 Wm & D Murray Haulage Ltd,Midland,,,
 Wm & D Murray Haulage Ltd,Midland,,,
 WSM Solicitors LLP,Midland,,,
 WS Specialist Logistics Limited,Midland,,,
 W & W Mackie Limited,Midland,,,
 Xterra Solutions,Midland,,,
 York Coffee Emporium,Midland,,,
 Yorkshire Paints,Midland,,,
 Yorwaste Limited,Midland,,,
 Zenith Cosmetic Clinic,Midland,,,
